round,num_users,frac,local_ep,local_bs,bs,lr,momentum,warmup_epoch,model,ks,in_ch,dataset,nclass,nsample_pc,noniid,pruning_percent,pruning_target,dist_thresh_fc,acc_thresh,seed,algorithm,avg_final_tacc,personalized_parameters_percentage,corr_label_network_similarity
28,2,1.0,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,fedspa,61.8125,"[0.0, 0.0, 0.757560441411844, 0.5361820914751986, 0.0]",nan,2022-07-24
30,2,1.0,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,fedspa,53.15625,"[0.0, 0.0, 0.757560441411844, 0.5361820914751986, 0.0]",nan,2022-07-24
32,2,1.0,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,fedspa,69.125,"[0.0, 0.0, 0.757560441411844, 0.5361820914751986, 0.0]",nan,2022-07-24
34,2,1.0,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,fedspa,59.1875,"[0.0, 0.0, 0.757560441411844, 0.5361820914751986, 0.0]",nan,2022-07-24
36,2,1.0,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,fedspa,52.5625,"[0.0, 0.0, 0.757560441411844, 0.5361820914751986, 0.0]",nan,2022-07-24
38,2,1.0,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,fedspa,49.78125,"[0.0, 0.0, 0.757560441411844, 0.5361820914751986, 0.0]",nan,2022-07-24
40,2,1.0,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,fedspa,31.25,"[0.0, 0.0, 0.757560441411844, 0.5361820914751986, 0.0]",nan,2022-07-24
42,2,1.0,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,fedspa,0.0,"[0.0, 0.0, 0.757560441411844, 0.5361820914751986, 0.0]",nan,2022-07-24
0,5,1.0,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,fedspa,57.2875,"[0.0, 0.0, 0.3195181534832786, 0.08271419368692291, 0.0]",-0.06325111894503337,2022-07-24
2,5,1.0,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,fedspa,44.475,"[0.0, 0.0, 0.3195181534832786, 0.08271419368692291, 0.0]",-0.06325111894503337,2022-07-24
